Title,Rating,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number,Oscar Awards,Total Wins,Total Nom,Year,After 2002
The Fifth Element ,7.7,Luc Besson,263920180.0,PG-13,914,188,45300,0,10,39,1997,0
ParaNorman ,7.0,Chris Butler,107139399.0,PG,226,351,9900,0,19,46,2012,1
The Man Who Shot Liberty Valance ,8.1,John Ford,3200000.0,Approved,281,100,7300,0,4,3,1962,0
It Chapter Two ,6.5,Andy Muschietti,473093228.0,R,2300,443,23700,0,7,33,2019,1
Need for Speed ,6.4,Scott Waugh,203277636.0,PG-13,433,336,16700,0,1,5,2014,1
Logan ,8.1,James Mangold,619179950.0,R,1600,655,69900,0,28,77,2017,1
Citizen Kane ,8.3,Orson Welles,1603237.0,PG,1500,272,42600,1,11,13,1941,0
Straw Dogs ,7.5,Sam Peckinpah,3251794.0,R,289,96,5900,0,1,2,1971,0
The Last Samurai ,7.7,Edward Zwick,454627263.0,R,100,174,41900,0,20,67,2003,1
Memoirs of a Geisha ,7.4,Rob Marshall,162242962.0,PG-13,629,214,14400,3,32,47,2005,1
L.A. Confidential ,8.2,Curtis Hanson,126216940.0,R,772,146,55700,2,91,85,1997,0
American Hustle ,7.2,David O. Russell,251171807.0,R,845,551,46500,0,69,227,2013,1
The Hunger Games: Mockingjay - Part 2 ,6.6,Francis Lawrence,658344137.0,PG-13,501,431,30600,0,16,34,2015,1
Spaceballs ,7.1,Mel Brooks,38119483.0,PG,360,112,18200,0,1,0,1987,0
Sin City: A Dame to Kill For ,6.5,Frank Miller,39407616.0,R,284,367,15800,0,4,6,2014,1
Return of the Seven ,5.5,Burt Kennedy,6322000.0,Unrated,50,25,4200,0,0,1,1966,0
Batoru rowaiaru ,7.6,Kinji Fukasaku,4500000.0,Not Rated,695,213,17800,0,7,9,2000,0
La piel que habito ,7.6,Pedro Almodóvar,33750478.0,R,226,433,14700,0,28,69,2011,1
Edward Scissorhands ,7.9,Tim Burton,86024005.0,PG-13,719,116,46700,0,9,24,1990,0
Who Framed Roger Rabbit ,7.7,Robert Zemeckis,329803958.0,PG,316,149,19200,4,24,22,1988,0
Serenity ,7.8,Joss Whedon,40445129.0,PG-13,1700,208,29000,0,9,10,2005,1
Ging chaat goo si ,7.6,Jackie Chan,113164.0,PG-13,112,3,3400,0,0,7,1985,0
Glass ,6.6,M. Night Shyamalan,246999039.0,PG-13,200,423,22700,0,2,15,2019,1
Alice in Wonderland ,6.4,Tim Burton,1025468216.0,PG,819,462,39900,2,35,63,2010,1
JFK ,8.0,Oliver Stone,205405498.0,R,525,90,15000,2,19,43,1991,0
Road House ,6.6,Rowdy Herrington,30050028.0,R,317,90,6800,0,0,5,1989,0
Se7en ,8.6,David Fincher,327333559.0,R,1700,177,1500000,0,29,43,1995,0
Kung Fu Panda ,7.6,Mark Osborne,631746197.0,PG,483,278,44200,0,14,39,2008,1
Christine ,6.7,John Carpenter,21017849.0,R,315,183,7800,0,0,2,1983,0
Dirty Harry ,7.7,Don Siegel,35976000.0,R,400,151,15100,0,2,4,1971,0
Prince of Darkness ,6.7,John Carpenter,14182492.0,R,302,206,4100,0,1,2,1987,0
Apocalypse Now ,8.4,Francis Ford Coppola,92158064.0,R,1300,317,63600,2,21,33,1979,0
Fright Night ,6.4,Craig Gillespie,41002607.0,R,275,374,10400,0,2,8,2011,1
Starman ,7.0,John Carpenter,28744356.0,PG,177,108,4600,0,1,6,1984,0
Godzilla ,5.4,Roland Emmerich,379014294.0,PG-13,910,124,18900,0,10,13,1998,0
Escape from Alcatraz ,7.6,Roland Emmerich,43005351.0,PG-13,910,124,18900,0,10,13,1979,0
Paul ,7.0,Greg Mottola,97984015.0,R,387,344,24500,0,2,9,2011,1
Real Steel ,7.0,Shawn Levy,299268508.0,PG-13,525,344,31300,0,2,6,2011,1
Fast & Furious Presents: Hobbs & Shaw ,6.5,David Leitch,759056935.0,PG-13,1300,319,19800,0,1,30,2019,1
Van Helsing ,6.1,Stephen Sommers,300157638.0,PG-13,1400,129,25600,0,3,21,2004,1
The Nice Guys ,7.4,Shane Black,62788218.0,R,544,453,30400,0,9,34,2016,1
No Way Out ,7.1,Shane Black,35509515.0,R,544,453,30400,0,9,34,1987,0
Bringing Out the Dead ,6.8,Martin Scorsese,16797191.0,R,416,179,6700,0,2,5,1999,0
"Il buono, il brutto, il cattivo ",8.8,Sergio Leone,25253751.0,R,1200,147,72400,0,3,6,1966,0
Die Hard 2 ,7.1,Renny Harlin,240031274.0,R,405,170,35000,0,0,2,1990,0
Thor: The Dark World ,6.8,Alan Taylor,644783140.0,PG-13,769,533,63600,0,4,21,2013,1
The Untouchables ,7.9,Brian De Palma,76270454.0,R,570,145,29700,1,11,16,1987,0
Harry Potter and the Half-Blood Prince ,7.6,David Yates,934454096.0,PG,1100,401,50600,0,9,39,2009,1
Paddington 2 ,7.8,Paul King,227978645.0,PG,276,431,6900,0,14,49,2017,1
Peter Rabbit ,6.6,Will Gluck,351496066.0,PG,354,146,4000,0,4,16,2018,1
Dr. No ,7.2,Terence Young,16079357.0,PG,519,156,16000,0,4,4,1962,0
Murder on the Orient Express ,6.5,Kenneth Branagh,352794081.0,PG-13,100,424,22700,0,1,24,2017,1
Clue ,7.3,Kenneth Branagh,14643997.0,PG-13,100,424,22700,0,1,24,1985,0
Django ,7.2,Wolfgang Petersen,25916.0,PG-13,708,234,10200,0,0,7,1966,0
Bill & Ted's Bogus Journey ,6.3,Peter Hewitt,38039850.0,PG,172,83,7400,0,1,1,1991,0
Addams Family Values ,6.8,Barry Sonnenfeld,48919043.0,PG-13,165,66,8900,0,3,16,1993,0
Transporter 2 ,6.3,Barry Sonnenfeld,89083229.0,PG-13,165,66,8900,0,3,16,2005,1
Transformers: Dark of the Moon ,6.2,Michael Bay,1123794079.0,PG-13,971,440,39600,0,10,42,2011,1
The Punisher ,5.7,Michael Bay,9000000.0,PG-13,971,440,39600,0,10,42,1989,0
Rogue One ,7.8,Gareth Edwards,1056057720.0,PG-13,1900,719,58600,0,24,83,2016,1
10 Things I Hate About You ,7.3,Gil Junger,53478579.0,PG-13,669,119,31800,0,2,13,1999,0
3:10 to Yuma ,7.7,James Mangold,70016220.0,R,671,305,30000,0,3,32,2007,1
Frankenweenie ,6.9,Tim Burton,81493846.0,PG,221,393,10400,0,11,50,2012,1
The Lion King ,6.8,Jon Favreau,1662899439.0,PG,300,387,22900,0,19,45,2019,1
Jumanji ,7.0,Joe Johnston,262821940.0,PG,299,80,32700,0,4,11,1995,0
A Quiet Place ,7.5,John Krasinski,340952971.0,PG-13,3200,566,48800,0,35,120,2018,1
Black Panther ,7.3,Ryan Coogler,1347597973.0,PG-13,3400,505,68800,3,114,280,2018,1
BlacKkKlansman ,7.5,Spike Lee,93413709.0,R,929,446,24500,1,44,213,2018,1
Horrible Bosses 2 ,6.3,Sean Anders,107645357.0,R,258,209,16600,0,1,6,2014,1
Magic Mike XXL ,5.6,Gregory Jacobs,117813057.0,R,153,240,5400,0,2,5,2015,1
The Godfather: Part III ,7.6,Francis Ford Coppola,136861392.0,R,760,134,37800,0,6,23,1990,0
The Town ,7.5,Ben Affleck,154026136.0,R,544,402,37100,0,9,46,2010,1
Green Book ,8.2,Peter Farrelly,321752656.0,PG-13,1600,422,43600,3,58,123,2018,1
Ocean's Eight ,6.3,Gary Ross,297718711.0,PG-13,1100,354,20400,0,3,16,2018,1
Pawn Sacrifice ,7.0,Edward Zwick,5578519.0,PG-13,138,157,4300,0,1,1,2014,1
La La Land ,8.0,Damien Chazelle,448906865.0,PG-13,200,709,54500,6,243,287,2016,1
Serpico ,7.7,Sidney Lumet,29829963.0,R,219,123,11800,0,8,13,1973,0
The French Connection ,7.7,William Friedkin,51700666.0,R,364,179,11700,5,22,12,1971,0
Jarhead ,7.0,Sam Mendes,97076152.0,R,716,275,18300,0,6,12,2005,1
Spider-Man: Homecoming ,7.4,Jon Watts,880166924.0,PG-13,1400,583,56600,0,7,10,2017,1
The Bridge on the River Kwai ,8.1,David Lean,27200000.0,PG,360,105,21300,7,30,8,1957,0
The Color of Money ,7.0,Martin Scorsese,52293982.0,R,159,72,8000,1,3,10,1986,0
The Chronicles of Riddick ,6.7,David Twohy,115900534.0,R,714,101,22200,0,0,5,2004,1
The General's Daughter ,6.4,Simon West,149705852.0,R,300,100,5700,0,3,5,1999,0
Prince of Persia: The Sands of Time ,6.6,Mike Newell,336365676.0,PG-13,495,316,28100,0,1,11,2010,1
Gattaca ,7.8,Andrew Niccol,12532777.0,PG-13,798,181,29200,0,6,16,1997,0
Ransom ,6.7,Ron Howard,309492681.0,R,197,77,12400,0,3,5,1996,0
In the Line of Fire ,7.2,Wolfgang Petersen,176997168.0,R,179,75,9900,0,2,17,1993,0
"O Brother, Where Art Thou? ",7.7,Joel Coen,71870729.0,PG-13,948,108,30000,0,7,39,2000,0
Sicario ,7.6,Denis Villeneuve,85057064.0,R,826,553,40200,0,15,158,2015,1
Rampage ,6.1,Brad Peyton,428028233.0,PG-13,736,331,15700,0,0,7,2018,1
Die Hard: With a Vengeance ,7.6,John McTiernan,366101666.0,R,426,180,37600,0,2,3,1995,0
Barton Fink ,7.7,Joel Coen,6153939.0,R,275,155,11800,0,19,30,1991,0
The Hateful Eight ,7.8,Quentin Tarantino,156480177.0,R,1500,570,55800,1,43,116,2015,1
Liar Liar ,6.9,Tom Shadyac,302710615.0,PG-13,327,73,29500,0,4,6,1997,0
How the Grinch Stole Christmas ,6.2,Ron Howard,345573032.0,PG,647,127,22500,1,18,37,2000,0
Beverly Hills Cop II ,6.5,Tony Scott,299965036.0,R,136,64,11500,0,6,4,1987,0
Lust for Life ,7.4,Vincente Minnelli,3227000.0,Approved,88,65,1100,1,4,6,1956,0
Lonely Are the Brave ,7.6,David Miller,2000000.0,Approved,117,46,8800,0,1,2,1962,0
Fantastic Beasts: The Crimes of Grindelwald ,6.5,David Yates,654855901.0,PG-13,1500,350,24200,0,3,23,2018,1
The Man from U.N.C.L.E. ,7.3,Guy Ritchie,107045109.0,PG-13,565,387,29300,0,7,5,2015,1
Chappie ,6.8,Neill Blomkamp,102811889.0,R,822,395,24200,0,0,3,2015,1
Spectre ,6.8,Sam Mendes,880681519.0,PG-13,1200,463,41900,1,8,37,2015,1
Tigerland ,7.0,Joel Schumacher,148701.0,R,163,76,4100,0,2,5,2000,0
Seven Psychopaths ,7.2,Martin McDonagh,32226382.0,R,382,414,25000,0,3,21,2012,1
8MM ,6.5,Joel Schumacher,96618699.0,R,639,122,12900,0,2,2,1999,0
Phone Booth ,7.0,Joel Schumacher,97837138.0,R,684,195,26000,0,1,8,2002,0
Un conte de Noël ,7.0,Arnaud Desplechin,7356393.0,Not Rated,32,141,6900,0,5,35,2008,1
The Artist ,7.9,Michel Hazanavicius,133432856.0,PG-13,709,598,23700,5,162,204,2011,1
Unforgiven ,8.2,Clint Eastwood,159157447.0,R,656,137,39500,4,50,47,1992,0
Great Expectations ,7.8,David Lean,19329.0,Approved,126,70,2300,2,4,4,1946,0
Mystic River ,7.9,Clint Eastwood,156595191.0,R,1100,225,44000,2,56,144,2003,1
Milk ,7.5,Gus Van Sant,54589558.0,R,322,255,17000,2,66,145,2008,1
Rebel Without a Cause ,7.7,Nicholas Ray,199963.0,PG-13,357,175,8800,0,3,7,1955,0
Psycho ,8.5,Alfred Hitchcock,32041845.0,R,1400,250,63700,0,7,14,1960,0
Sleepers ,7.6,Barry Levinson,165615285.0,R,344,72,21000,0,1,5,1996,0
Hot Shots! ,6.8,Jim Abrahams,181096164.0,PG-13,118,53,10400,0,1,0,1991,0
Jurassic World ,7.0,Colin Trevorrow,1670516444.0,PG-13,1500,698,60600,0,15,58,2015,1
Footloose ,6.6,Herbert Ross,80039064.0,PG,154,65,7600,0,1,6,1984,0
Unstoppable ,6.8,Tony Scott,167805466.0,PG-13,413,328,19200,0,1,14,2010,1
Halloween ,7.7,John Carpenter,47160000.0,R,1600,457,26000,0,7,3,1978,0
Harry Potter and the Deathly Hallows: Part 1 ,7.7,David Yates,977043483.0,PG-13,740,449,50900,0,15,55,2010,1
The Equalizer ,7.2,Antoine Fuqua,192330738.0,R,690,328,35400,0,1,9,2014,1
Wayne's World ,7.0,Penelope Spheeris,183097323.0,PG-13,207,76,15100,0,4,5,1992,0
Batman Returns ,7.0,Tim Burton,266892996.0,PG-13,733,196,28800,0,2,29,1992,0
Ted 2 ,6.3,Seth MacFarlane,215863606.0,R,273,304,19700,0,3,4,2015,1
Johnny English ,6.2,Peter Howitt,160466000.0,PG,335,128,15500,0,0,6,2003,1
Catch-22 ,7.1,Mike Nichols,18000000.0,R,158,60,2500,0,0,5,1970,0
Creed ,7.6,Ryan Coogler,173567581.0,PG-13,565,506,26100,0,44,65,2015,1
First Blood ,7.7,Ted Kotcheff,125212904.0,R,527,208,24000,0,1,2,1982,0
Vanishing Point ,7.2,Ted Kotcheff,12442673.0,R,527,208,24000,0,1,2,1971,0
Ulzana's Raid ,7.1,Ted Kotcheff,1200000.0,R,527,208,24000,0,1,2,1972,0
The Driver ,7.2,Ted Kotcheff,4000000.0,R,527,208,24000,0,1,2,1978,0
The Man in the Iron Mask ,6.5,Randall Wallace,182968902.0,PG-13,280,91,16200,0,3,4,1998,0
Robin Hood: Prince of Thieves ,6.9,Kevin Reynolds,390493908.0,PG-13,387,87,18700,0,16,24,1991,0
Harry Potter and the Deathly Hallows: Part 2 ,8.1,David Yates,1342321665.0,PG-13,100,491,81200,0,46,94,2011,1
The Message ,8.2,Moustapha Akkad,10000000.0,PG,169,24,4600,0,0,1,1976,0
Casanova ,6.5,Lasse Hallström,37691644.0,R,159,120,5300,0,5,3,2005,1
Close Encounters of the Third Kind ,7.6,Steven Spielberg,306889114.0,PG,483,243,19400,2,15,39,1977,0
E.T. the Extra-Terrestrial ,7.8,Steven Spielberg,792910554.0,PG,663,265,39000,4,52,36,1982,0
Beauty and the Beast ,7.1,Bill Condon,1273576220.0,PG,1200,524,29100,0,15,75,2017,1
The Greatest Showman ,7.6,Michael Gracey,436949634.0,PG,1900,341,26000,0,17,32,2017,1
Dark Phoenix ,5.7,Simon Kinberg,252442974.0,PG-13,2200,356,17300,0,0,13,2019,1
Sleepy Hollow ,7.3,Tim Burton,206071502.0,R,100,247,34700,1,28,44,1999,0
Hollow Man ,5.8,Paul Verhoeven,190213455.0,R,676,190,12800,0,7,14,2000,0
Snowden ,7.3,Oliver Stone,37357216.0,R,279,332,14700,0,4,7,2016,1
We Were Soldiers ,7.2,Randall Wallace,115374915.0,R,797,152,13600,0,3,5,2002,0
The Runaways ,6.5,Floria Sigismondi,4681651.0,R,144,259,4800,0,0,6,2010,1
The Salvation ,6.7,Kristian Levring,1363964.0,R,138,193,3800,0,1,8,2014,1
Harold & Kumar Go to White Castle ,7.0,Danny Leiner,23936908.0,R,349,137,19000,0,0,3,2004,1
Highlander ,7.1,Zoltan Korda,5900712.0,Passed,87,48,5900,0,0,2,1986,0
WarGames ,7.1,John Badham,79567667.0,PG,212,92,9600,0,4,14,1983,0
The Mummy Returns ,6.4,Stephen Sommers,443280904.0,PG-13,948,178,31300,0,6,19,2001,0
The Pink Panther ,7.1,Blake Edwards,10878107.0,Approved,197,89,5100,0,2,8,1963,0
A Nightmare on Elm Street ,7.5,Wes Craven,25565347.0,R,882,241,22400,0,4,6,1984,0
Pirates of the Caribbean: Dead Men Tell No Tales ,6.5,Joachim Rønning,794881442.0,PG-13,705,418,28400,0,1,13,2017,1
Dracula ,7.5,Tod Browning,85204.0,Passed,600,178,5000,0,5,3,1931,0
Ice Age ,7.5,Chris Wedge,383257136.0,PG,518,175,46100,0,5,30,2002,0
Knight and Day ,6.3,James Mangold,261989769.0,PG-13,439,304,18800,0,0,3,2010,1
Walking Tall ,6.9,James Mangold,500000.0,PG-13,439,304,18800,0,0,3,1973,0
Starship Troopers ,7.2,Paul Verhoeven,121214377.0,R,1100,216,28200,0,3,16,1997,0
8 Mile ,7.1,Curtis Hanson,242875078.0,R,648,114,26900,1,15,21,2002,0
Sully ,7.4,Clint Eastwood,240797623.0,PG-13,526,419,25700,0,14,36,2016,1
The Giver ,6.5,Phillip Noyce,66980456.0,PG-13,367,210,11600,0,3,6,2014,1
What Happened to Monday ,6.9,Tommy Wirkola,27975429.0,TV-MA,572,137,11600,0,0,1,2017,1
Maze Runner: The Scorch Trials ,6.3,Wes Ball,312296056.0,PG-13,478,279,23700,0,2,5,2015,1
The Matrix Reloaded ,7.2,Lana Wachowski,741847937.0,R,2800,167,54900,0,8,34,2003,1
The Tourist ,6.0,Florian Henckel von Donnersmarck,278780441.0,PG-13,495,336,23400,0,4,4,2010,1
Underworld ,7.0,Len Wiseman,95708457.0,R,867,230,26200,0,1,10,2003,1
M*A*S*H ,7.4,Robert Altman,81600000.0,R,270,138,7100,1,14,24,1970,0
Dial M for Murder ,8.2,Alfred Hitchcock,18924.0,PG,394,113,16800,0,5,3,1954,0
M - Eine Stadt sucht einen Mörder ,8.3,Fritz Lang,35566.0,Passed,394,176,15200,0,2,0,1931,0
Fright Night ,7.1,Tom Holland,24922237.0,R,350,174,6700,0,5,5,1985,0
The BFG ,6.4,Steven Spielberg,195243411.0,PG,269,376,8200,0,4,26,2016,1
Jurassic World: Fallen Kingdom ,6.2,J.A. Bayona,1310466296.0,PG-13,1900,460,28700,0,4,26,2018,1
Guardians of the Galaxy Vol. 2 ,7.6,James Gunn,863756051.0,PG-13,1100,595,62100,0,15,58,2017,1
The Score ,6.8,Frank Oz,114252154.0,R,481,120,12600,0,1,1,2001,0
Oblivion ,7.0,Joseph Kosinski,286168572.0,PG-13,100,567,50500,0,1,17,2013,1
The Guns of Navarone ,7.5,J. Lee Thompson,6000000.0,TV-PG,178,46,4900,1,4,12,1961,0
Cape Fear ,7.7,J. Lee Thompson,3000000.0,TV-PG,178,46,4900,1,4,12,1962,0
Where Eagles Dare ,7.6,Brian G. Hutton,7100435.0,M,293,48,5600,0,1,3,1968,0
Analyze This ,6.7,Harold Ramis,176885658.0,R,359,123,15000,0,4,7,1999,0
The Whole Nine Yards ,6.7,Jonathan Lynn,106371651.0,R,334,56,11700,0,0,6,2000,0
Out of the Furnace ,6.8,Scott Cooper,15661554.0,R,311,309,11200,0,1,10,2013,1
I Am Legend ,7.2,Francis Lawrence,585410052.0,PG-13,1600,338,72000,0,9,23,2007,1
Ghost in the Shell ,6.3,Rupert Sanders,169846945.0,PG-13,1100,455,20700,0,3,6,2017,1
Defiance ,7.2,Edward Zwick,51262751.0,R,276,129,14400,0,2,5,2008,1
The Fast and the Furious ,6.8,Rob Cohen,207305509.0,PG-13,1100,131,37000,0,11,18,2001,0
Kickboxer ,6.5,Rob Cohen,14697005.0,PG-13,1100,131,37000,0,11,18,1989,0
Bloodsport ,6.8,Newt Arnold,11806119.0,R,284,92,8200,0,0,1,1988,0
Cry-Baby ,6.5,Newt Arnold,8266343.0,R,284,92,8200,0,0,1,1990,0
Red River ,7.8,Howard Hawks,3000000.0,Passed,211,87,3000,0,4,5,1948,0
McLintock! ,7.2,Andrew V. McLaglen,2000000.0,Passed,107,54,1400,0,2,0,1963,0
Star Trek: The Motion Picture ,6.4,Robert Wise,82604699.0,G,506,114,8700,0,4,20,1979,0
The Pit and the Pendulum ,7.1,Robert Wise,200000.0,G,506,114,8700,0,4,20,1961,0
The Rocketeer ,6.5,Joe Johnston,46704056.0,PG,176,109,5600,0,1,6,1991,0
Superman II ,6.8,Richard Lester,108185706.0,PG,316,147,10400,0,3,7,1980,0
Body of Lies ,7.1,Ridley Scott,115900897.0,R,315,237,22200,0,0,2,2008,1
Primal Fear ,7.7,Gregory Hoblit,102616183.0,R,361,83,20300,0,10,12,1996,0
Fear and Loathing in Las Vegas ,7.6,Terry Gilliam,10680275.0,R,746,159,27100,0,1,3,1998,0
The Usual Suspects ,8.5,Bryan Singer,23341568.0,R,1400,153,100000,2,37,17,1995,0
Oldeuboi ,8.4,Park Chan-Wook,15189934.0,R,1100,347,54700,0,40,20,2003,1
Raging Bull ,8.2,Martin Scorsese,23402427.0,R,643,154,33800,2,24,28,1980,0
Casino ,8.2,Martin Scorsese,116112375.0,R,705,123,49300,0,4,11,1995,0
The Last of the Mohicans ,7.7,Michael Mann,75505856.0,R,493,91,16100,1,7,17,1992,0
Watchmen ,7.6,Zack Snyder,185382813.0,R,1500,490,53000,0,11,24,2009,1
In the Name of the Father ,8.1,Jim Sheridan,65796862.0,R,206,64,16700,0,7,41,1993,0
Ying xiong ,7.9,Yimou Zhang,177395557.0,PG-13,888,158,17800,0,46,48,2002,0
Patton ,7.9,Franklin J. Schaffner,61749765.0,PG,314,130,9900,7,24,8,1970,0
The Young Lions ,7.2,Edward Dmytryk,3550000.0,Approved,77,26,7900,0,1,7,1958,0
Yôjinbô ,8.2,Akira Kurosawa,46808.0,Not Rated,221,136,11800,0,4,2,1961,0
There Will Be Blood ,8.2,Paul Thomas Anderson,76182388.0,R,1400,353,55100,2,116,137,2007,1
Der Untergang ,8.2,Oliver Hirschbiegel,92181574.0,R,666,115,34400,0,22,34,2004,1
Le fabuleux destin d'Amélie Poulain ,8.3,Jean-Pierre Jeunet,174028204.0,R,1500,146,73000,0,59,74,2001,0
Silver Linings Playbook ,7.7,David O. Russell,236412453.0,R,907,482,68500,1,89,148,2012,1
Chinatown ,8.2,Roman Polanski,29225935.0,R,587,162,31200,1,21,24,1974,0
Home Alone ,7.6,Chris Columbus,476684675.0,PG,527,105,51700,0,11,6,1990,0
Le salaire de la peur ,8.1,Henri-Georges Clouzot,1098.0,Not Rated,181,148,5900,0,6,0,1953,0
The Treasure of the Sierra Madre ,8.2,John Huston,5014000.0,Passed,304,104,12100,3,16,8,1948,0
T2 Trainspotting ,7.2,Danny Boyle,41681746.0,R,309,397,12000,0,6,8,2017,1
Zodiac ,7.7,David Fincher,84785914.0,R,912,422,50500,0,4,72,2007,1
The Wrestler ,7.9,Darren Aronofsky,44734660.0,R,634,337,29800,0,58,93,2008,1
Desperado ,7.2,Robert Rodriguez,25405445.0,R,236,98,18000,0,1,5,1995,0
The Rundown ,6.7,Peter Berg,80981914.0,PG-13,277,148,10500,0,2,3,2003,1
Jumanji: The Next Level ,6.7,Jake Kasdan,800059707.0,PG-13,100,249,22400,0,1,12,2019,1
The Abyss ,7.5,James Cameron,90000098.0,PG-13,477,112,17200,1,9,15,1989,0
A Beautiful Mind ,8.2,Ron Howard,316791257.0,PG-13,1300,159,88900,4,37,69,2001,0
Shutter Island ,8.2,Martin Scorsese,294805697.0,R,1400,531,1200000,0,11,66,2010,1
Groundhog Day ,8.0,Harold Ramis,71074049.0,PG,851,138,59900,0,7,17,1993,0
The Hangover ,7.7,Todd Phillips,469310836.0,R,784,351,74900,0,13,25,2009,1
Source Code ,7.5,Duncan Jones,147332697.0,PG-13,688,542,50300,0,1,8,2011,1
Amadeus ,8.3,Milos Forman,52066791.0,PG,687,127,38500,8,43,15,1984,0
21 ,6.8,Robert Luketic,159808370.0,PG-13,333,155,24000,0,1,5,2008,1
Ocean's Thirteen ,6.9,Steven Soderbergh,311312624.0,PG-13,342,254,33400,0,1,5,2007,1
Thank You for Smoking ,7.6,Jason Reitman,39323027.0,R,451,248,21800,0,12,32,2005,1
The Adjustment Bureau ,7.0,George Nolfi,127869379.0,PG-13,507,428,25200,0,1,9,2011,1
Minority Report ,7.6,Steven Spielberg,358372926.0,PG-13,1400,266,53000,0,20,91,2002,0
The Fighter ,7.8,David O. Russell,129190869.0,R,479,420,35400,2,73,124,2010,1
Warrior ,8.1,Gavin O'Connor,23308615.0,PG-13,760,348,45300,0,5,22,2011,1
Bad Boys ,6.9,Michael Bay,141407024.0,R,308,80,25300,0,0,4,1995,0
"I, Robot ",7.1,Alex Proyas,353133898.0,PG-13,865,220,51900,0,1,15,2004,1
Joe Kidd ,6.5,Alex Proyas,6330000.0,PG-13,865,220,51900,0,1,15,1972,0
What Women Want ,6.4,Nancy Meyers,374111707.0,PG-13,434,123,20200,0,5,9,2000,0
Le pacte des loups ,7.0,Christophe Gans,70752904.0,R,525,197,6500,0,4,22,2001,0
First Man ,7.3,Damien Chazelle,105713218.0,PG-13,1400,491,18000,1,32,196,2018,1
Hunter Killer ,6.6,Donovan Marsh,31676128.0,R,815,128,6000,0,1,0,2018,1
Geostorm ,5.3,Dean Devlin,221600160.0,PG-13,805,159,10200,0,1,1,2017,1
Stromboli (Terra di Dio) ,7.3,Roberto Rossellini,1000000.0,Approved,46,60,6600,0,2,1,1950,0
Tombstone ,7.8,George P. Cosmatos,56505065.0,R,560,88,13800,0,0,2,1993,0
Sunset Blvd. ,8.4,Billy Wilder,300073.0,Passed,667,192,21300,3,18,20,1950,0
Taken ,7.8,Pierre Morel,226837760.0,PG-13,1100,278,58400,0,2,2,2008,1
The Outlaw Josey Wales ,7.8,Clint Eastwood,31800000.0,PG,248,59,7100,0,1,2,1976,0
The Post ,7.2,Steven Spielberg,180419276.0,PG-13,511,451,14500,0,20,113,2017,1
Killer Elite ,6.4,Gary McKendry,57084522.0,R,201,202,12700,0,2,8,2011,1
Quigley Down Under ,6.9,Simon Wincer,21413105.0,PG-13,130,32,2200,0,2,1,1990,0
Darkest Hour ,7.4,Joe Wright,150847274.0,PG-13,671,426,18800,2,53,80,2017,1
The Shape of Water ,7.3,Guillermo del Toro,195333312.0,R,1700,100,39700,4,137,353,2017,1
"I, Tonya ",7.5,Craig Gillespie,53939297.0,R,540,438,20100,1,45,126,2017,1
Suicide Squad ,5.9,David Ayer,746846894.0,PG-13,2400,686,65700,1,17,40,2016,1
The Mummy ,5.4,Alex Kurtzman,409231607.0,PG-13,983,444,18100,0,6,17,2017,1
Man of Tai Chi ,6.1,Alex Kurtzman,5464885.0,PG-13,983,444,18100,0,6,17,2013,1
Resident Evil: Apocalypse ,6.2,Alexander Witt,129342769.0,R,719,210,19300,0,6,3,2004,1
Elvis (TV Movie,7.0,John Carpenter,2100000.0,R,719,210,19300,0,0,4,1979,0
Man of Steel ,7.0,Zack Snyder,668045518.0,PG-13,300,781,73600,0,7,46,2013,1
Jumper ,6.1,Doug Liman,225132113.0,PG-13,554,243,29800,0,2,5,2008,1
Annihilation ,6.8,Alex Garland,43070915.0,R,200,450,30200,0,16,62,2018,1
Hostiles ,7.2,Scott Cooper,35669017.0,R,505,202,7900,0,4,7,2017,1
Okja ,7.3,Bong Joon Ho,2049823.0,TV-MA,373,286,11400,0,7,21,2017,1
"McFarland, USA ",7.4,Niki Caro,45710059.0,PG,115,119,3700,0,4,3,2015,1
Risky Business ,6.8,Paul Brickman,63541777.0,R,212,71,8600,0,0,3,1983,0
Meng long guo jiang ,7.3,Bruce Lee,130000.0,R,142,76,3600,0,1,1,1972,0
Jing wu men ,7.3,Wei Lo,100000.0,R,112,91,2900,0,2,1,1972,0
Two Mules for Sister Sara ,7.0,Don Siegel,5050000.0,GP,84,45,2700,0,0,2,1970,0
Home Alone 2: Lost in New York ,6.8,Chris Columbus,358994850.0,PG,304,68,32700,0,3,3,1992,0
Species ,5.8,Roger Donaldson,113374103.0,R,173,132,7800,0,3,8,1995,0
Men in Black 3 ,6.8,Barry Sonnenfeld,624026776.0,PG-13,410,464,34900,0,1,13,2012,1
American Gangster ,7.8,Ridley Scott,269755430.0,R,541,305,41000,0,12,38,2007,1
Analyze That ,5.9,Harold Ramis,55003135.0,R,149,92,8400,0,1,0,2002,0
The Whole Ten Yards ,5.5,Howard Deutch,26170671.0,PG-13,125,77,5600,0,1,1,2004,1
Daddy's Home 2 ,6.0,Sean Anders,180613824.0,PG-13,249,148,6800,0,1,8,2017,1
Lethal Weapon 3 ,6.7,Richard Donner,321731527.0,R,170,79,16300,0,3,4,1992,0
