Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
Bedazzled (2000),6.0,Awards,1 win & 3 nominations,Harold Ramis,"$90,383,208",PG-13,276,102,101K
Big Momma's House (2000),5.2,Awards,1 win & 9 nominations,Raja Gosnell,"$173,959,438",PG-13,161,107,84K
Billy Elliot (2000),7.7,Nominated for 3 Oscars,57 wins & 73 nominations total,Stephen Daldry,"$109,283,018",R,478,84,131K
Boiler Room (2000),7.0,Awards,1 win & 9 nominations,Ben Younger,"$28,780,255",R,260,62,52K
Bring It On (2000),6.1,Awards,2 wins & 7 nominations,Peyton Reed,"$90,449,929",PG-13,410,99,93K
Battlefield Earth (2000),2.5,Awards,19 wins & 3 nominations,Roger Christian,"$29,725,663",PG-13,1.4K,123,79K
Buffalo Soldiers (2001),6.8,Awards,1 win & 6 nominations,Gregor Jordan,"$2,300,684",R,117,101,24K
Baby Boy (2001),6.4,Awards,1 win & 14 nominations,John Singleton,"$29,381,649",R,94,46,14K
Blow (2001),7.6,Awards,3 wins & 9 nominations,Ted Demme,"$83,282,296",R,471,144,250K
Bandits (2001),6.5,Awards,4 wins & 7 nominations,Barry Levinson,"$67,631,903",PG-13,286,111,67K
Behind Enemy Lines (2001),6.4,Awards,1 win & 2 nominations,John Moore,"$91,753,202",PG-13,458,116,103K
Black Hawk Down (2001),7.7,Won 2 Oscars,11 wins & 37 nominations total,Ridley Scott,"$172,989,651",R,1.1K,222,380K
Bones (2001),4.3,Awards,1 nomination,Ernest R. Dickerson,"$8,378,853",R,96,63,7.4K
Bubble Boy (2001),5.6,Awards,1 nomination,Blair Hayes,"$5,007,898",PG-13,190,44,33K
Black Knight (2001),4.9,Awards,2 nominations,Gil Junger,2.39 : 1,PG-13,182,51,40K
Barbershop (2002),6.3,Awards,1 win & 17 nominations,Tim Story,"$77,063,924",PG-13,162,92,31K
Blue Crush (2002),5.7,Awards,1 win & 7 nominations,John Stockwell,"$51,843,679",PG-13,216,61,31K
Bad Boys II (2003),6.6,Awards,5 wins & 13 nominations,Michael Bay,"$273,339,556",R,581,118,242K
Bad Santa (2003),7.0,Awards,1 win & 12 nominations,Terry Zwigoff,"$76,490,720",R,524,191,139K
Basic (2003),6.5,Awards,3 nominations,John McTiernan,"$42,792,561",R,316,140,62K
Big Fish (2003),8.0,Nominated for 1 Oscar,69 nominations total,Tim Burton,"Dec 14, 2003",PG-13,918,253,430K
Biker Boyz (2003),4.7,Nominated for 1 Oscar,69 nominations total,Tim Burton,"$23,510,621",PG-13,918,253,430K
Bringing Down the House (2003),5.6,Awards,4 wins & 13 nominations,Adam Shankman,"$164,729,679",PG-13,236,122,36K
Bruce Almighty (2003),6.8,Awards,7 wins & 9 nominations,Tom Shadyac,"$484,592,874",PG-13,661,180,387K
Bulletproof Monk (2003),5.5,Awards,1 nomination,Paul Hunter,"$37,713,879",PG-13,191,142,50K
Beyond the Sea (2004),6.7,Awards,7 nominations,Kevin Spacey,"$8,447,615",PG-13,260,89,15K
Barbershop 2: Back in Business (2004),5.7,Awards,2 wins & 10 nominations,Kevin Rodney Sullivan,"$65,991,448",PG-13,70,57,15K
Be Cool (2005),5.6,Awards,1 win & 13 nominations,F. Gary Gray,"$95,763,716",PG-13,336,165,69K
BloodRayne (2005),2.9,Awards,4 wins & 11 nominations,Uwe Boll,"$3,650,275",R,494,78,35K
Brokeback Mountain (2005),7.7,Won 3 Oscars,141 wins & 132 nominations total,Ang Lee,"$178,062,759",R,2.4K,238,342K
Blood Diamond (2006),8.0,Nominated for 5 Oscars,8 wins & 32 nominations total,Edward Zwick,"$171,720,398",R,758,182,524K
Bill (2007),6.2,Awards,1 nomination,Bernie Goldmann,"$346,592",R,57,31,20K
Before the Devil Knows You're Dead (2007),7.3,Awards,17 wins & 27 nominations,Sidney Lumet,"$25,038,466",R,328,208,101K
Brick Lane (2007),6.6,Awards,3 wins & 5 nominations total,Sarah Gavron,"$3,796,190",PG-13,34,77,3.1K
Boy A (2007),7.6,Awards,13 wins & 11 nominations total,John Crowley,"$1,202,375",R,88,96,37K
Body of Lies (2008),7.1,Awards,2 nominations,Ridley Scott,"$115,900,897",R,315,237,222K
Brooklyn's Finest (2009),6.7,Awards,1 win & 10 nominations,Antoine Fuqua,"$45,719,985",R,161,166,63K
Boy (2010),7.5,Awards,13 wins & 9 nominations,Taika Waititi,"$43,551,154",Not Rated,78,81,25K
Burning Palms (2010),5.4,Awards,13 wins & 9 nominations,Taika Waititi,"$5,000,000 (estimated)",Not Rated,78,81,25K
Bad Teacher (2011),5.6,Awards,6 wins & 4 nominations,Jake Kasdan,"$216,197,492",R,360,261,199K
Bridesmaids (2011),6.8,Nominated for 2 Oscars,25 wins & 72 nominations total,Paul Feig,"$288,383,523",R,620,395,282K
Child's Play (1988),6.6,Awards,2 wins & 4 nominations,Tom Holland,"$44,196,684",R,399,132,96K
Cry-Baby (1990),6.5,Awards,2 wins & 4 nominations,Tom Holland,"$8,266,343",R,399,132,96K
Child's Play 2 (1990),5.9,Awards,1 win,John Lafia,"$35,763,605",R,246,83,49K
Child's Play 3 (1991),5.1,Awards,1 win & 3 nominations,Jack Bender,"$20,560,255",R,203,75,39K
Cape Fear (1991),7.3,Nominated for 2 Oscars,5 wins & 21 nominations total,Martin Scorsese,"$182,291,969",R,373,145,185K
Casino (1995),8.2,Nominated for 1 Oscar,4 wins & 11 nominations total,Martin Scorsese,"$116,112,375",R,705,123,493K
Chasing Amy (1997),7.2,Awards,5 wins & 16 nominations,Kevin Smith,"$12,021,272",R,524,142,136K
Con Air (1997),6.9,Nominated for 2 Oscars,7 wins & 11 nominations total,Simon West,"$224,012,234",R,436,129,288K
Cop Land (1997),6.9,Awards,1 win & 1 nomination,James Mangold,"$44,862,187",R,260,139,91K
Clay Pigeons (1998),6.6,Awards,1 nomination,David Dobkin,"$1,794,086",R,114,49,11K
Charlie's Angels (2000),5.6,Awards,15 wins & 33 nominations,McG,"$264,105,545",PG-13,685,205,183K
Cast Away (2000),7.8,Nominated for 2 Oscars,15 wins & 38 nominations total,Robert Zemeckis,"$429,632,142",PG-13,1.2K,108,559K
Chopper (2000),7.2,Awards,12 wins & 14 nominations,Andrew Dominik,"$307,289",R,171,85,38K
Coyote Ugly (2000),5.7,Awards,4 wins & 8 nominations,David McNally,"$113,916,474",PG-13,405,139,111K
Corky Romano (2001),4.7,Awards,1 nomination,Rob Pritts,"$25,272,752",PG-13,110,62,13K
Crocodile Dundee in Los Angeles (2001),4.8,Awards,1 win & 2 nominations,Simon Wincer,"$39,438,674",PG,132,79,25K
Cats & Dogs (2001),5.1,Awards,2 wins & 3 nominations,Lawrence Guterman,"$200,687,492",PG,244,107,58K
Catch Me If You Can (2002),8.1,Nominated for 2 Oscars,16 wins & 46 nominations total,Steven Spielberg,"$352,114,312",PG-13,936,212,900K
Confessions of a Dangerous Mind (2002),7.0,Awards,7 wins & 12 nominations,George Clooney,"$33,013,805",R,283,181,87K
Charlie's Angels: Full Throttle (2003),4.9,Awards,9 wins & 21 nominations,McG,"$259,175,788",PG-13,582,120,126K
Cheaper by the Dozen (2003),5.9,Awards,2 wins & 7 nominations,Shawn Levy,"$190,538,630",PG,299,113,99K
Cold Creek Manor (2003),5.0,Awards,1 nomination,Mike Figgis,"$29,119,434",R,280,96,22K
Cradle 2 the Grave (2003),5.8,Awards,6 nominations,Andrzej Bartkowiak,"$56,489,558",R,197,102,44K
Charlie's Angels: Full Throttle (2003),4.9,Awards,9 wins & 21 nominations,McG,"$259,175,788",PG-13,582,120,126K
Crash (2004),7.7,Won 3 Oscars,66 wins & 112 nominations total,Paul Haggis,"$98,410,061",R,1.7K,289,429K
Catwoman (2004),3.4,Awards,13 wins & 8 nominations,Pitof,"$82,102,379",PG-13,761,137,115K
Casanova (2005),6.5,Awards,5 wins & 3 nominations,Lasse Hallström,"$37,691,644",R,159,120,53K
Charlie and the Chocolate Factory (2005),6.6,Nominated for 1 Oscar,15 wins & 52 nominations total,Tim Burton,"$474,968,763",PG,1.4K,268,452K
Coach Carter (2005),7.3,Awards,3 wins & 15 nominations,Thomas Carter,"$76,669,554",PG-13,260,122,138K
Candy (2006),7.2,Awards,6 wins & 17 nominations,Neil Armfield,"$2,105,096",R,92,68,45K
Click (2006),6.4,Nominated for 1 Oscar,3 wins & 12 nominations total,Frank Coraci,"$240,685,326",PG-13,835,163,319K
Cadillac Records (2008),7.0,Awards,6 wins & 21 nominations,Darnell Martin,"$8,883,644",R,108,86,21K
Couples Retreat (2009),5.5,Awards,1 win & 4 nominations,Peter Billingsley,"$171,844,840",PG-13,185,170,106K
Cyrus (2010),6.3,Awards,7 nominations,Jay Duplass,"$9,933,873",R,131,228,35K
Cop Out (2010),5.6,Awards,1 nomination,Kevin Smith,"$55,611,001",R,204,212,87K
Cowboys & Aliens (2011),6.0,Awards,1 win & 17 nominations,Jon Favreau,"$174,822,325",PG-13,584,449,216K
Captain America: The First Avenger (2011),6.9,Awards,4 wins & 46 nominations,Joe Johnston,"$370,569,774",PG-13,1K,571,792K
Conan the Barbarian (2011),5.2,Awards,2 nominations,Marcus Nispel,"$63,523,283",R,391,322,98K
Cedar Rapids (2011),6.3,Awards,1 win & 4 nominations,Miguel Arteta,"$7,728,936",R,98,216,37K
"Crazy, Stupid, Love. (2011)",7.4,Awards,4 wins & 23 nominations,Glenn Ficarra,"$145,051,197",PG-13,439,325,497K
Colombiana (2011),6.4,Awards,2 wins & 5 nominations,Olivier Megaton,"$71,508,440",PG-13,258,207,99K
Dick Tracy (1990),6.1,Won 3 Oscars,9 wins & 36 nominations total,Warren Beatty,"$162,738,726",PG,198,105,60K
Dazed and Confused (1993),7.6,Awards,1 win & 4 nominations,Richard Linklater,"$7,993,039",R,515,176,176K
Dead Man Walking (1995),7.5,Won 1 Oscar,23 wins & 23 nominations total,Tim Robbins,"$39,363,635",R,232,70,92K
Donnie Brasco (1997),7.7,Nominated for 1 Oscar,2 wins & 16 nominations total,Mike Newell,"$124,909,762",R,322,119,293K
Doctor Dolittle (1998),5.4,Awards,4 wins & 10 nominations,Betty Thomas,"$294,456,605",PG-13,115,80,95K
Dracula 2000 (2000),4.9,Awards,2 nominations,Patrick Lussier,"$47,053,625",R,378,131,33K
"Dude, Where's My Car? (2000)",5.5,Awards,6 nominations,Danny Leiner,"Dec 17, 2000",PG-13,494,67,138K
Duets (2000),6.1,Awards,1 nomination,Bruce Paltrow,"$6,620,242",R,135,67,9.5K
Down to Earth (2001),5.5,Awards,3 nominations,Chris Weitz,"$71,186,502",PG-13,127,62,24K
Dr. Dolittle 2 (2001),4.7,Awards,3 wins & 6 nominations,Steve Carr,"$176,104,344",PG,86,92,44K
The Forsaken (2001),5.3,Awards,3 wins & 6 nominations,Steve Carr,"$8,704,851",PG,86,92,44K
Driven (2001),4.6,Awards,1 win & 10 nominations,Renny Harlin,"$54,744,738",PG-13,346,117,41K
Donnie Darko (2001),8.0,Awards,12 wins & 16 nominations,Richard Kelly,"$6,981,586",R,2.3K,393,770K
Domestic Disturbance (2001),5.6,Awards,1 win & 3 nominations,Harold Becker,"$54,249,294",PG-13,208,91,27K
Dr. Dolittle 2 (2001),4.7,Awards,3 wins & 6 nominations,Steve Carr,"$176,104,344",PG,86,92,44K
Death to Smoochy (2002),6.3,Awards,2 nominations,Danny DeVito,"$8,382,938",R,347,81,40K
Die Another Day (2002),6.1,Awards,6 wins & 36 nominations,Lee Tamahori,"$431,971,116",PG-13,1.2K,130,214K
The Cat in the Hat (2003),4.0,Awards,7 wins & 22 nominations,Bo Welch,"$133,960,541",PG,640,104,80K
Duplex (2003),5.9,Awards,2 nominations,Danny DeVito,"$19,322,135",PG-13,162,58,57K
Daddy Day Care (2003),5.6,Awards,1 win & 6 nominations,Steve Carr,"$164,433,867",PG,150,85,67K
Dodgeball: A True Underdog Story (2004),6.7,Awards,2 wins & 9 nominations,Rawson Marshall Thurber,2.39 : 1,PG-13,422,148,240K
Dan in Real Life (2007),6.7,Awards,4 nominations,Peter Hedges,"$68,474,305",PG-13,292,209,101K
Date Night (2010),6.3,Awards,4 wins & 8 nominations,Shawn Levy,"$152,263,880",PG-13,248,251,158K
Dear John (2010),6.3,Awards,4 wins & 8 nominations,Lasse Hallström,"$114,984,666",PG-13,250,168,145K
Despicable Me (2010),7.6,Awards,3 wins & 41 nominations total,Pierre Coffin,"$543,113,985",PG,394,191,521K
Diary of a Wimpy Kid (2010),6.2,Awards,5 wins & 9 nominations,Thor Freudenthal,"$76,196,538",PG,146,112,47K
Dream House (2011),6.0,Awards,2 nominations,Jim Sheridan,"$39,984,400",PG-13,188,186,66K
Drive (2011),7.8,Nominated for 1 Oscar,79 wins & 180 nominations total,Nicolas Winding Refn,"$77,187,281",R,1.6K,719,601K
Deadheads (2011),5.4,Awards,2 wins & 1 nomination,Brett Pierce,Dead Heads,R,42,60,5.3K
Enemy at the Gates (2001),7.6,Awards,7 nominations,Jean-Jacques Annaud,"$96,976,270",R,731,105,253K
Evolution (2001),6.1,Awards,2 nominations,Ivan Reitman,"$98,376,292",PG-13,471,142,126K
Exit Wounds (2001),5.6,Awards,4 nominations,Andrzej Bartkowiak,"$79,958,599",R,245,112,35K
E.T. the Extra-Terrestrial (1982),7.8,Won 4 Oscars,52 wins & 36 nominations total,Steven Spielberg,"$792,910,554",PG,663,265,390K
Edward Scissorhands (1990),7.9,Nominated for 1 Oscar,9 wins & 24 nominations total,Tim Burton,"$86,024,005",PG-13,719,116,467K
Executive Decision (1996),6.4,Awards,2 wins & 2 nominations,Stuart Baird,"$121,969,216",R,182,71,54K
EverAfter (1998),7.0,Awards,6 wins & 15 nominations,Andy Tennant,"$98,005,666",PG-13,389,46,73K
Edtv (1999),6.1,Awards,2 nominations,Ron Howard,"$35,242,897",PG-13,205,76,43K
Erin Brockovich (2000),7.4,Won 1 Oscar,33 wins & 59 nominations total,Steven Soderbergh,"$256,271,286",R,554,152,188K
From Hell (2001),6.8,Awards,15 nominations,Albert Hughes,"$74,558,115",R,570,185,152K
Frailty (2001),7.2,Awards,5 wins & 16 nominations,Bill Paxton,"$17,423,030",R,549,180,81K
Eight Legged Freaks (2002),5.4,Awards,1 nomination,Ellory Elkayem,2.39 : 1,PG-13,326,199,56K
EuroTrip (2004),6.6,Awards,2 nominations,Jeff Schaffer,"$22,605,153",R,374,82,204K
Evan Almighty (2007),5.4,Awards,2 wins & 11 nominations,Tom Shadyac,"$174,440,724",PG,303,189,144K
Enchanted (2007),7.0,Nominated for 3 Oscars,12 wins & 51 nominations total,Kevin Lima,"$340,487,836",PG,446,233,190K
Extreme Movie (2008),3.7,Nominated for 3 Oscars,12 wins & 51 nominations total,Kevin Lima,"$54,822",PG,446,233,190K
Easy A (2010),7.0,Awards,9 wins & 21 nominations,Will Gluck,"$75,026,327",PG-13,381,281,375K
Full Metal Jacket (1987),8.3,Nominated for 1 Oscar,8 wins & 15 nominations total,Stanley Kubrick,"Jun 28, 1987",R,910,172,707K
Freddy's Dead: The Final Nightmare (1991),4.9,Awards,1 win & 4 nominations,Rachel Talalay,"$34,872,033",R,308,97,45K
Father Hood (1993),4.9,Awards,1 win & 4 nominations,Rachel Talalay,"$3,418,141",R,308,97,45K
Friday (1995),7.3,Awards,1 win & 5 nominations,F. Gary Gray,"$28,215,918",R,209,28,107K
Fear (1996),6.2,Awards,1 win & 2 nominations,James Foley,"$20,831,000",R,193,65,46K
K-PAX (2001),7.4,Awards,3 nominations,Iain Softley,"$65,001,485",PG-13,569,125,180K
Fear and Loathing in Las Vegas (1998),7.6,Awards,1 win & 3 nominations,Terry Gilliam,"$10,680,275",R,746,159,271K
Flawless (1999),6.5,Awards,3 wins & 4 nominations,Joel Schumacher,"$4,488,529",R,113,68,19K
Fight Club (1999),8.8,Nominated for 1 Oscar,11 wins & 38 nominations total,David Fincher,"$101,209,702",R,4.1K,384,2M
Final Destination (2000),6.7,Awards,3 wins & 5 nominations,James Wong,"$112,880,294",R,780,156,243K
Frequency (2000),7.3,Awards,2 wins & 8 nominations,Gregory Hoblit,"$68,106,245",PG-13,561,122,105K
Freddy Got Fingered (2001),4.6,Awards,12 wins & 7 nominations,Tom Green,"$14,343,028",R,725,82,48K
Frailty (2001),7.2,Awards,5 wins & 16 nominations,Bill Paxton,"$17,423,030",R,549,180,81K
From Hell (2001),6.8,Awards,15 nominations,Albert Hughes,"$74,558,115",R,570,185,152K
Friday After Next (2002),5.8,Awards,15 nominations,Albert Hughes,"$33,526,835",R,570,185,152K
Finding Neverland (2004),7.6,Won 1 Oscar,19 wins & 81 nominations total,Marc Forster,"$116,650,613",PG,676,235,203K
Fantastic Four (2005),5.7,Awards,4 wins & 12 nominations,Tim Story,"$333,535,934",PG-13,1K,117,321K
Four Brothers (2005),6.8,Awards,5 wins & 9 nominations,John Singleton,"$92,374,674",R,379,128,141K
Failure to Launch (2006),5.6,Awards,5 nominations,Tom Dey,"$130,224,158",PG-13,283,145,78K
4: Rise of the Silver Surfer (2007),5.6,Awards,3 wins & 17 nominations,Tim Story,"$301,913,131",PG,491,264,258K
Fred Claus (2007),5.6,Awards,3 wins & 17 nominations,Tim Story,"$97,838,349",PG,491,264,258K
First Sunday (2008),4.6,Awards,3 wins & 17 nominations,Tim Story,"$38,810,311",PG,491,264,258K
Fool's Gold (2008),5.7,Awards,5 nominations,Andy Tennant,"$111,231,041",PG-13,174,183,77K
Forgetting Sarah Marshall (2008),7.1,Awards,4 wins & 19 nominations,Nicholas Stoller,"$105,833,257",R,407,255,275K
Four Christmases (2008),5.7,Awards,1 win & 1 nomination,Seth Gordon,"$164,112,721",PG-13,177,148,68K
Funny People (2009),6.3,Awards,3 nominations,Judd Apatow,"$71,585,235",R,346,239,117K
Fanboys (2009),6.6,Awards,3 nominations,Judd Apatow,"$961,203",R,346,239,117K
Fast & Furious (2009),6.6,Awards,6 wins & 2 nominations,Justin Lin,"$360,366,870",PG-13,299,258,277K
Fish Tank (2009),7.3,Awards,21 wins & 29 nominations total,Andrea Arnold,"$2,404,300",Not Rated,134,177,61K
Friends with Benefits (2011),6.5,Awards,1 win & 5 nominations,Will Gluck,"$149,542,245",R,263,243,354K
Final Destination 5 (2011),5.8,Awards,2 wins & 6 nominations,Steven Quale,"$157,887,643",R,302,293,112K
Flypaper (2011),6.4,Awards,2 wins & 6 nominations,Steven Quale,"$4,453,634",R,302,293,112K
"Good Morning, Vietnam (1987)",7.3,Nominated for 1 Oscar,7 wins & 4 nominations total,Barry Levinson,"$123,922,370",R,174,64,134K
Goodfellas (1990),8.7,Won 1 Oscar,44 wins & 38 nominations total,Martin Scorsese,"$46,963,277",R,1.4K,155,1.1M
Geronimo: An American Legend (1993),6.5,Nominated for 1 Oscar,1 win & 2 nominations total,Walter Hill,"$18,635,620",PG-13,62,27,11K
Grace of My Heart (1996),6.7,Awards,3 nominations,Allison Anders,"$660,313",R,47,34,3.8K
Good Will Hunting (1997),8.3,Won 2 Oscars,24 wins & 61 nominations total,Gus Van Sant,"$225,933,435",R,971,166,910K
Great Expectations (1998),6.8,Awards,1 win & 3 nominations,Alfonso Cuarón,"$55,494,066",R,212,85,53K
Gladiator (2000),8.5,Won 5 Oscars,59 wins & 106 nominations total,Ridley Scott,"$465,380,802",R,2.8K,221,1.4M
Girlfight (2000),6.7,Awards,15 wins & 18 nominations,Karyn Kusama,"$1,666,028",R,95,86,11K
Gangster No. 1 (2000),6.7,Awards,1 win & 9 nominations,Paul McGuigan,"$30,915",R,140,62,14K
Get Carter (2000),5.2,Awards,7 nominations,Stephen Kay,"$19,412,993",R,301,105,34K
Gone in Sixty Seconds (2000),6.5,Awards,9 wins & 6 nominations,Dominic Sena,"$237,202,299",PG-13,571,131,270K
Gossip (2000),5.9,Awards,3 nominations,Davis Guggenheim,"$12,591,270",R,115,67,16K
Ghosts of Mars (2001),4.9,Awards,2 nominations,John Carpenter,"$14,010,832",R,495,103,53K
Ghost World (2001),7.3,Nominated for 1 Oscar,28 wins & 56 nominations total,Terry Zwigoff,"$8,764,007",R,530,147,118K
Glitter (2001),2.3,Awards,3 wins & 10 nominations,Vondie Curtis-Hall,2.39 : 1,PG-13,332,75,23K
Gangs of New York (2002),7.5,Nominated for 10 Oscars,50 wins & 135 nominations total,Martin Scorsese,"$193,772,504",R,1.2K,224,424K
Gothika (2003),5.8,Awards,3 wins & 7 nominations,Mathieu Kassovitz,"$141,591,324",R,418,214,111K
Grilled (2006),5.2,Awards,3 wins & 7 nominations,Mathieu Kassovitz,"$46,663",R,418,214,111K
Ghost Town (2008),6.7,Awards,3 wins & 2 nominations,David Koepp,"$27,090,159",PG-13,189,212,72K
Ghosts of Girlfriends Past (2009),5.8,Awards,1 win,Mark Waters,"$102,366,815",PG-13,147,156,88K
G.I. Joe: The Rise of Cobra (2009),5.8,Awards,3 wins & 16 nominations,Stephen Sommers,"$302,469,017",PG-13,580,141,205K
